Date,Salarios,Precios.EUA,Nacional,Industria.EUA
1/1/2000,103.6639,168.8,44.93083012,90.46546
1/2/2000,102.7525,169.8,45.32938031,90.71638
1/3/2000,102.186,171.2,45.58068078,91.06192
1/4/2000,101.6079,171.3,45.84001827,91.73168
1/5/2000,101.2294,171.5,46.01137907,91.87799
1/6/2000,100.6334,172.4,46.28392024,91.96857
1/7/2000,100.2423,172.8,46.46446621,91.83582
1/8/2000,99.6945,172.8,46.71978519,91.56587
1/9/2000,98.9715,173.7,47.0610716,91.91862
1/10/2000,98.2947,174,47.38513583,91.64292
1/11/2000,97.4614,174.1,47.79028786,91.6606
1/12/2000,96.4175,174,48.30767118,91.41669
1/1/2001,102.5751,175.1,48.57547625,90.82906
1/2/2001,102.643,175.8,48.54332816,90.27698
1/3/2001,101.9968,176.2,48.85088778,90.03663
1/4/2001,101.4848,176.9,49.09730863,89.77859
1/5/2001,101.2525,177.7,49.20997046,89.22863
1/6/2001,101.0136,178,49.32636377,88.69788
1/7/2001,101.2767,177.5,49.19820196,88.19651
1/8/2001,100.6802,177.5,49.48968755,88.07653
1/9/2001,99.7516,178.3,49.95038115,87.73992
1/10/2001,99.3028,177.7,50.17613537,87.35989
1/11/2001,98.9302,177.4,50.36514891,86.92414
1/12/2001,98.7933,176.7,50.43489879,86.95267
1/1/2002,103.5437,177.1,50.90047201,87.50322
1/2/2002,103.6103,177.8,50.86774985,87.48563
1/3/2002,103.083,178.8,51.12794844,88.18826
1/4/2002,102.523,179.8,51.40723497,88.55359
1/5/2002,102.3156,179.8,51.51142923,88.92372
1/6/2002,101.8192,179.9,51.76258618,89.77245
1/7/2002,101.5277,180.1,51.91118135,89.55909
1/8/2002,101.1431,180.7,52.1085603,89.55794
1/9/2002,100.5384,181,52.42198356,89.68542
1/10/2002,100.0972,181.3,52.65303609,89.41711
1/11/2002,99.2942,181.3,53.07887728,89.87678
1/12/2002,98.8638,180.9,53.3099298,89.44439
1/1/2003,102.9009,181.7,53.52544068,89.96371
1/2/2003,102.6159,183.1,53.67412245,90.25008
1/3/2003,101.9722,184.2,54.01293041,90.04594
1/4/2003,101.7984,183.8,54.1051442,89.41817
1/5/2003,102.1279,183.5,53.93055967,89.43613
1/6/2003,102.0437,183.7,53.9751124,89.58426
1/7/2003,101.896,183.9,54.0533387,89.97188
1/8/2003,101.5912,184.6,54.21548991,89.83575
1/9/2003,100.99,185.2,54.53823816,90.36728
1/10/2003,100.6211,185,54.73820739,90.50139
1/11/2003,99.7928,184.5,55.19254161,91.20064
1/12/2003,99.3656,184.3,55.42981079,91.12926
1/1/2004,102.9535,185.2,55.77431735,91.36808
1/2/2004,102.3413,186.2,56.10794476,91.91373
1/3/2004,101.9957,187.4,56.29807094,91.45934
1/4/2004,101.842,188,56.38303195,91.87078
1/5/2004,102.0981,189.1,56.24160294,92.60145
1/6/2004,101.9347,189.7,56.33174451,91.84187
1/7/2004,101.6683,189.4,56.47939018,92.5464
1/8/2004,101.0445,189.5,56.82804118,92.61634
1/9/2004,100.2159,189.9,57.29791705,92.69665
1/10/2004,99.5266,190.9,57.69474717,93.57698
1/11/2004,98.6848,191,58.1868994,93.77872
1/12/2004,98.4814,190.3,58.30708815,94.45856
1/1/2005,102.8994,190.7,58.30916037,94.90238
1/2/2005,102.5577,191.8,58.50343099,95.54082
1/3/2005,102.0976,193.3,58.76712098,95.40691
1/4/2005,101.7352,194.6,58.97641519,95.55024
1/5/2005,101.9915,194.4,58.82825146,95.67724
1/6/2005,102.0895,194.5,58.77178347,96.04881
1/7/2005,101.6915,195.4,59.00179988,95.75092
1/8/2005,101.5702,196.4,59.07225536,96.01164
1/9/2005,101.1647,198.8,59.30900649,94.22224
1/10/2005,100.917,199.2,59.45457994,95.4097
1/11/2005,100.1959,197.6,59.88249335,96.37966
1/12/2005,99.5842,196.8,60.25031239,96.97295
1/1/2006,102.9638,198.3,60.60362589,97.08621
1/2/2006,102.8065,198.7,60.69635773,97.09813
1/3/2006,102.6777,199.8,60.77251181,97.28843
1/4/2006,102.5273,201.5,60.86161727,97.68345
1/5/2006,102.9858,202.5,60.59067451,97.58229
1/6/2006,102.8969,202.9,60.64299806,97.96127
1/7/2006,102.6156,203.5,60.80929371,97.92553
1/8/2006,102.0946,203.9,61.11960865,98.30354
1/9/2006,101.0742,202.9,61.73661213,98.10133
1/10/2006,100.6342,201.8,62.00651878,98.04839
1/11/2006,100.109,201.5,62.3318573,97.94128
1/12/2006,99.5332,201.8,62.69242357,98.97128
1/1/2007,102.8718,202.416,63.01620793,98.45782
1/2/2007,102.5851,203.499,63.19234663,99.46918
1/3/2007,102.3636,205.352,63.32911314,99.67035
1/4/2007,102.4247,206.686,63.29129513,100.389
1/5/2007,102.9268,207.949,62.98253436,100.4275
1/6/2007,102.8034,208.352,63.05817039,100.4515
1/7/2007,102.3686,208.299,63.32600481,100.4081
1/8/2007,101.9532,207.917,63.58399619,100.6166
1/9/2007,101.1677,208.49,64.07770259,101.0116
1/10/2007,100.775,208.936,64.32740509,100.5954
1/11/2007,100.069,210.177,64.78122126,101.1593
1/12/2007,99.657,210.036,65.04905568,101.2067
1/1/2008,103.1748,211.08,65.35056368,100.9377
1/2/2008,102.869,211.693,65.5448343,100.5926
1/3/2008,102.1288,213.528,66.01989072,100.3522
1/4/2008,101.897,214.823,66.17012666,99.59254
1/5/2008,102.0072,216.632,66.09863507,99.02796
1/6/2008,101.5868,218.815,66.3721681,98.78886
1/7/2008,101.0238,219.964,66.74205936,98.268
1/8/2008,100.4437,219.086,67.12749227,96.7569
1/9/2008,99.7639,218.783,67.58493481,92.56447
1/10/2008,99.0886,216.573,68.04548569,93.45566
1/11/2008,97.975,212.425,68.81894178,92.27483
1/12/2008,97.3011,210.228,69.29555236,89.58195
1/1/2009,101.5633,211.143,69.45614941,87.45048
1/2/2009,101.3396,212.193,69.60949368,86.87822
1/3/2009,100.7599,212.709,70.00995018,85.50546
1/4/2009,100.4085,213.24,70.25499019,84.82091
1/5/2009,100.7018,213.856,70.05035847,83.96776
1/6/2009,100.5167,215.693,70.17935416,83.64268
1/7/2009,100.2436,215.351,70.37051645,84.56403
1/8/2009,100.0044,215.834,70.53888432,85.52074
1/9/2009,99.5052,215.969,70.89271587,86.16734
1/10/2009,99.2051,216.177,71.10719063,86.44891
1/11/2009,98.6932,216.33,71.47604578,86.79561
1/12/2009,98.2864,215.949,71.77185517,87.0547
1/1/2010,101.9456,216.687,72.55204598,88.07653
1/2/2010,101.3594,216.741,72.97167051,88.38624
1/3/2010,100.6449,217.631,73.48972549,88.96561
1/4/2010,100.9666,218.009,73.25556464,89.30145
1/5/2010,101.6068,218.178,72.79397765,90.58755
1/6/2010,101.6386,217.965,72.77118323,90.71542
1/7/2010,101.4184,218.011,72.92919,91.10361
1/8/2010,101.1375,218.312,73.1317495,91.39786
1/9/2010,100.6101,218.439,73.51511019,91.59738
1/10/2010,99.9928,218.711,73.96892635,91.35636
1/11/2010,99.1981,218.803,74.56158125,91.39334
1/12/2010,98.7091,219.179,74.93095445,92.25437
1/1/2011,102.264,220.223,75.29599135,92.16061
1/2/2011,101.8818,221.309,75.57846024,91.7556
1/3/2011,101.6867,223.467,75.72345093,92.6686
1/4/2011,101.6948,224.906,75.71744095,92.34909
1/5/2011,102.45,225.964,75.15926438,92.54333
1/6/2011,102.4552,225.722,75.15550814,92.78753
1/7/2011,101.9659,225.922,75.51610674,93.27957
1/8/2011,101.8049,226.545,75.63555502,93.8205
1/9/2011,101.5557,226.889,75.82111305,93.77151
1/10/2011,100.8751,226.421,76.3327123,94.42465
1/11/2011,99.7957,226.23,77.15833283,94.36644
1/12/2011,98.9823,225.672,77.79238536,94.88269
1/1/2012,102.4171,226.665,78.34304946,95.45648
1/2/2012,102.2093,227.663,78.50231384,95.72268
1/3/2012,102.1507,229.392,78.54738867,95.25686
1/4/2012,102.4721,230.085,78.30097963,95.98493
1/5/2012,102.7966,229.815,78.05381934,96.15622
1/6/2012,102.3249,229.478,78.41366669,96.1103
1/7/2012,101.7536,229.104,78.85389747,96.3664
1/8/2012,101.4492,230.379,79.0905403,95.97177
1/9/2012,101.004,231.407,79.43911894,95.96294
1/10/2012,100.4955,231.317,79.84103612,96.17889
1/11/2012,99.8174,230.221,80.3834365,96.65037
1/12/2012,100,229.601,80.56824328,96.95461
1/1/2013,103.4844,230.28,80.89278202,96.90773
1/2/2013,102.9775,232.166,81.29094297,97.43474
1/3/2013,102.2274,232.773,81.88743314,97.81141
1/4/2013,102.1599,232.531,81.94152293,97.69267
1/5/2013,102.5011,232.945,81.66882024,97.74714
1/6/2013,102.5633,233.504,81.61923793,97.93629
1/7/2013,102.5973,233.596,81.59219304,97.45347
1/8/2013,102.3062,233.877,81.82432839,98.15455
1/9/2013,101.9226,234.149,82.13233968,98.63641
